race,gender,body_size,age_range,with_kids,kids_category,basket_size,basket_colour,attire,shirt_colour,shirt_type,pants_colour,pants_type,wash_item,washer_no,dryer_no,spectacles,timespent_minutes,buydrinks,totalspent_rm,latitude,longitude,num_of_baskets,location,amenity,road,quarter,town,city,state,iso3166-2-lvl4,postcode,neighbourhood,hamlet,residential,suburb,leisure,tourism,office,aeroway,building,industrial,highway,house_number,man_made,district,historic,landuse,shop,city_district,commercial,railway,craft,locality,retail,village,place,club,military,Super Dryclean Sdn Bhd,Jag Nasmech Sdn Bhd,Zack Laundry,Dobi Auto Sdn Bhd,Dobi Pro Enterprise,Laundry Bar (Pantai Hillpark) - 24 Hours,year,month,day,hour,minute,second
3,1,1,28.0,2,4,0,8,0,1,1,0,1,1,3,10,0,20.0,2.0,9.0,2.91231642,101.6579478,1.0,95,16,1545,15,2,6,1,0,62200.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,19,20,17,50
4,1,2,32.0,0,1,0,9,0,10,1,2,0,2,6,9,0,19.0,4.0,21.0,2.922506027,101.6431294,3.0,221,326,1590,10,2,6,1,0,63000.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,19,20,28,42
3,0,1,30.0,0,1,0,1,0,8,1,0,0,2,4,10,0,18.0,2.0,13.0,2.93553339,101.7371698,1.0,387,326,1674,125,6,6,1,0,63450.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,19,20,58,31
2,1,2,51.0,0,1,2,0,0,0,1,12,1,1,5,9,0,13.0,2.0,16.0,2.949923904,101.637069,1.0,546,326,1674,11,6,6,1,0,47120.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,19,21,31,28
2,1,3,34.0,0,1,0,1,0,1,2,11,0,1,3,9,1,15.0,1.0,13.0,2.903529733,101.6612493,3.0,3,326,1674,125,2,6,1,0,62200.0,32,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,19,21,40,28
4,1,0,50.0,0,1,2,9,0,2,2,2,0,1,4,8,0,35.0,5.0,16.0,2.928514231,101.72064,3.0,291,326,1674,125,6,6,1,0,62000.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,19,23,45,38
4,0,0,45.0,0,1,0,6,2,1,2,0,0,1,5,10,0,30.0,3.0,17.0,2.970783341,101.6744587,2.0,778,326,1674,34,6,5,0,2,62300.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,1,0,0,0,0,2015,10,19,23,53,38
2,1,2,49.0,1,3,0,1,0,10,1,3,0,1,3,9,1,46.0,0.0,16.0,2.951176457,101.7465264,3.0,560,326,1674,125,6,6,1,0,43650.0,208,5,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,0,24,1
2,1,2,30.0,0,1,1,7,0,9,1,0,1,2,6,10,0,60.0,4.0,17.0,2.955301618,101.7039608,2.0,599,326,1631,35,6,5,0,2,62502.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,0,45,19
0,2,1,33.0,0,1,1,6,0,10,1,2,1,2,5,7,0,23.0,0.0,10.0,2.9086064,101.6668225,3.0,53,326,1620,16,2,6,1,0,62100.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,1,17,50
4,0,3,45.0,0,1,0,8,3,9,1,5,1,2,4,8,0,56.0,2.0,21.0,2.967033313,101.6523208,3.0,732,326,1674,125,6,6,1,0,47110.0,208,26,90,0,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,3,7,16
4,1,1,37.0,0,1,0,1,0,2,1,10,0,2,4,8,1,36.0,5.0,18.0,2.962150972,101.7110964,3.0,685,326,1631,125,6,6,1,0,62500.0,208,26,34,27,20,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,7,23,12
3,0,1,40.0,0,1,0,1,0,1,0,2,0,1,3,7,0,15.0,1.0,7.0,2.928768234,101.6912621,3.0,292,326,1674,42,6,5,0,2,62675.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,7,23,12
4,1,1,32.0,0,1,0,11,3,11,1,0,0,1,3,9,2,15.0,2.0,7.0,2.941112411,101.7132003,1.0,441,326,1674,32,6,5,0,2,62000.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,9,6,14
3,0,1,55.0,2,4,0,8,3,2,0,5,0,1,3,8,2,23.0,1.0,11.0,2.939276297,101.6442602,3.0,421,326,1606,9,2,6,1,0,63200.0,208,26,130,75,11,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,10,5,17
4,1,2,33.0,0,1,0,2,1,9,0,3,0,2,5,9,1,39.0,0.0,9.0,2.957245277,101.6766783,1.0,623,326,741,34,6,5,0,2,61250.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,10,41,35
3,0,2,55.0,2,2,0,1,0,2,0,5,0,1,4,7,0,46.0,3.0,11.0,2.970509739,101.6621115,1.0,773,326,1674,125,6,6,1,0,47110.0,208,26,89,0,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,10,49,31
3,1,0,40.0,2,2,0,9,3,4,2,5,0,1,5,9,0,53.0,3.0,14.0,2.921546642,101.6680438,2.0,207,326,1620,16,2,6,1,0,62100.0,208,26,130,75,40,8,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,10,57,47
3,0,0,55.0,2,3,0,1,2,9,0,6,0,1,6,7,1,48.0,2.0,16.0,2.943176549,101.7346564,1.0,467,326,692,125,6,6,1,0,62050.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,11,13,26
3,0,1,50.0,2,4,0,6,0,3,0,5,0,1,5,10,0,35.0,3.0,8.0,2.915475549,101.6616564,2.0,129,326,1218,15,2,6,1,0,63000.0,208,26,130,75,40,43,7,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,11,19,20
2,1,0,34.0,0,1,0,0,0,8,1,5,0,1,3,10,0,36.0,5.0,17.0,2.943831439,101.6823814,1.0,475,286,1351,125,6,5,0,2,62250.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,11,27,26
4,1,1,53.0,2,0,0,6,1,8,0,0,0,1,5,9,0,15.0,3.0,19.0,2.934433738,101.7258593,1.0,370,326,1674,38,6,5,0,2,62050.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,11,27,57
3,0,0,38.0,2,4,0,10,0,8,2,1,0,0,3,7,1,16.0,2.0,14.0,2.967766774,101.6855821,1.0,738,326,1674,34,6,5,0,2,62300.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,11,28,43
